nombre,precio,dormitorios,baños,metros,direccion,ciudad
Arriendo Departamento 3 Dorm.2b Condominio Chinchorro Norte,$500.000,3 dormitorios,2 baños,53 m² útiles,"Condominio Chinchorro Norte 1, Arica, Arica Y Parinacota",arica
Moderno Y Nuevo Depto En Novo Azapa!,$560.000,1 dormitorio,1 baño,35 m² útiles,"MANUEL CASTILLO IBACETA, 1 - 300, Arica, Arica Y Parinacota",arica
Tu Hogar Costero De Ensueño En Arica,$600.000,3 dormitorios,1 baño,61 m² útiles,"AMADOR NEGHME, 1 - 300, Arica, Arica Y Parinacota",arica
Arriendo La Lisera,$1.150.000,2 dormitorios,2 baños,,"Punta Del Este 658, Arica, Arica, Arica Y Parinacota",arica
Arriendo Empart V,$570.000,3 dormitorios,2 baños,78 m² útiles,"Robinson Rojas 3459, Arica, Arica, Arica Y Parinacota",arica
Lindo Departamento En Las Palmas,$550.000,3 dormitorios,2 baños,70 m² útiles,"Arica, Arica Y Parinacota",arica
En Condominio San Marcos Departamento En Arriendo,$510.000,3 dormitorios,1 baño,60 m² útiles,"Arica, Arica Y Parinacota",arica
Arriendo Mini Depto Arica Entrada De Azapa,$350.000,1 dormitorio,1 baño,35 m² útiles,"Llareta, 40 A, Arica, Arica Y Parinacota",arica
Exclusivo Departamento Frente Al Mar,$1.300.000,3 dormitorios,1 baño,100 m² útiles,"Avenida Comandante San Martín, 320, Arica, Arica Y Parinacota",arica
Comodo Departamento Recien Pintado,$570.000,3 dormitorios,2 baños,60 m² útiles,"Pasaje Caritaya, 195, Arica, Arica Y Parinacota",arica
Condominio San Marcos Zona Norte,$650.000,3 dormitorios,2 baños,60 m² útiles,"Ramón Carnicer Oriente, 3246, Arica, Arica Y Parinacota",arica
Departamento Condominio Panorama,$450.000,3 dormitorios,2 baños,65 m² útiles,"Coihueco, 550, Arica, Arica Y Parinacota",arica
Arriendo Terrazas De Marsella Arica,$535.000,3 dormitorios,1 baño,75 m² útiles,"Marsella , 555, Arica, Arica Y Parinacota",arica
Depto 21 Con Oscar Belmar Piso 3,$380.000,2 dormitorios,1 baño,65 m² útiles,"Luis Valente Rossi , 2274, Arica, Arica Y Parinacota",arica
Condominio Novo Azapa,$620.000,2 dormitorios,2 baños,59 m² útiles,"CONDOMINIO NOVO AZAPA, Arica, Arica Y Parinacota",arica
Lindo Departamemto Amoblado (95638),$600.000,2 dormitorios,1 baño,56 m² útiles,"Avenida Manuel Castillo Ibaceta 1 - 300, Arica, Arica Y Parinacota",arica
Departamento En Arriendo Disponible (96529),$650.000,3 dormitorios,2 baños,76 m² útiles,"Caracas 1 - 300, Arica, Arica Y Parinacota",arica
Arriendo Departamento 2d/2b/est Condominio Bosques De Azapa,$560.000,2 dormitorios,2 baños,64 m² útiles,"Guillermo Sánchez 660, Arica, Arica, Arica Y Parinacota",arica
