nombre,direccion,ciudad,precio,dormitorios,baños,metros,precio_m2
Moderno Y Nuevo Depto En Novo Azapa!,"MANUEL CASTILLO IBACETA, 1 - 300, Arica, Arica Y Parinacota",arica,560000,1,1,35,16000
Lindo Departamento En Las Palmas,"Arica, Arica Y Parinacota",arica,550000,3,2,70,7857
Arriendo Empart V,"Robinson Rojas 3459, Arica, Arica, Arica Y Parinacota",arica,570000,3,2,78,7308
Tu Hogar Costero De Ensueño En Arica,"AMADOR NEGHME, 1 - 300, Arica, Arica Y Parinacota",arica,600000,3,1,61,9836
Arriendo La Lisera,"Punta Del Este 658, Arica, Arica, Arica Y Parinacota",arica,1150000,2,2,64,17969
En Condominio San Marcos Departamento En Arriendo,"Arica, Arica Y Parinacota",arica,510000,3,1,60,8500
Arriendo Mini Depto Arica Entrada De Azapa,"Llareta, 40 A, Arica, Arica Y Parinacota",arica,350000,1,1,35,10000
Exclusivo Departamento Frente Al Mar,"Avenida Comandante San Martín, 320, Arica, Arica Y Parinacota",arica,1300000,3,1,100,13000
Comodo Departamento Recien Pintado,"Pasaje Caritaya, 195, Arica, Arica Y Parinacota",arica,570000,3,2,60,9500
Condominio San Marcos Zona Norte,"Ramón Carnicer Oriente, 3246, Arica, Arica Y Parinacota",arica,650000,3,2,60,10833
Arriendo Terrazas De Marsella Arica,"Marsella , 555, Arica, Arica Y Parinacota",arica,535000,3,1,75,7133
Departamento Condominio Panorama,"Coihueco, 550, Arica, Arica Y Parinacota",arica,450000,3,2,65,6923
Departamento Primer Piso 2 Dormitorios 2 Baños,"Guillermo Sánchez, 670, Arica, Arica Y Parinacota",arica,550000,2,2,70,7857
Depto 21 Con Oscar Belmar Piso 3,"Luis Valente Rossi , 2274, Arica, Arica Y Parinacota",arica,380000,2,1,65,5846
Arriendo Departamento 3 Dorm.2b Condominio Chinchorro Norte,"Condominio Chinchorro Norte 1, Arica, Arica Y Parinacota",arica,500000,3,2,53,9434
Lindo Departamemto Amoblado (95638),"Avenida Manuel Castillo Ibaceta 1 - 300, Arica, Arica Y Parinacota",arica,600000,2,1,56,10714
Departamento En Arriendo Disponible (96529),"Caracas 1 - 300, Arica, Arica Y Parinacota",arica,650000,3,2,76,8553
Condominio Novo Azapa,"CONDOMINIO NOVO AZAPA, Arica, Arica Y Parinacota",arica,620000,2,2,59,10508
Arriendo Departamento Xl Amoblado En Condominio Doña Isidora,"Ginebra 4081, Arica, Arica, Arica Y Parinacota",arica,800000,3,2,90,8889
Agradable Departamento En Condominio Terrazas De Marsella,"Arica, Arica Y Parinacota",arica,600000,3,1,61,9836
Excelente Departamento En Condominio Vista 21,"Arica, Arica Y Parinacota",arica,700000,3,2,82,8537
En Bosque Azapa Lindo Departamento En Arriendo,"Arica, Arica Y Parinacota",arica,790000,3,2,98,8061
Maravilloso Departamento En Vista Pacífico,"Arica, Arica Y Parinacota",arica,1200000,3,3,120,10000
Arriendo Departamento En Novo Azapa,"Arica, Arica Y Parinacota",arica,450000,2,1,50,9000
Departamento En Arriendo De 3 Dorm. En Arica,"Ginebra Con Mentón, Arica, Arica Y Parinacota",arica,420000,3,1,49,8571
Depto Neo Azapa - Gc Incluidos - Disponible Julio,"Av. Manuel Castillo Ibaceta, Arica, Arica, Arica Y Parinacota",arica,500000,1,1,40,12500
Bello Departamento Sector Residencial,"Colombia 436, 1001121 Arica, Arica Y Parinacota, Chile, Arica, Arica Y Parinacota",arica,780000,3,2,105,7429
Arriendo Departamento 2d/2b/est Condominio Bosques De Azapa,"Guillermo Sánchez 660, Arica, Arica, Arica Y Parinacota",arica,560000,2,2,64,8750
Minidepartamento Primer Piso,"Caleta Coloso  808, Arica, Arica Y Parinacota",arica,240000,1,1,40,6000
Departamento Central,"Guatemala, Arica, Arica, Arica Y Parinacota",arica,430000,2,1,70,6143
Arriendo Departamento Primer Piso,"Av. Santiago Arata 4083, Arica, Arica Y Parinacota, Chile, Arica, Arica Y Parinacota",arica,450000,3,1,60,7500
Arriendo Departamento Amoblado 3 Habitaciones En Iquique,"Av. 4 Sur 2400 - 2700, Iquique, Cerro Dragón, Iquique, Tarapacá",iquique,850000,3,2,84,10119
Vista Al Mar !! Gastos Comunes Incluidos !! 3 D 2 B Est  Bod,"Eleuterio Ramirez 1559, Iquique, Centro De Iquique, Iquique, Tarapacá",iquique,700000,3,2,90,7778
Eleuterio Ramirez- Gastos Comunes Incluidos  3d 2b  1 Est 1b,"Eleuterio Ramirez 1559, Iquique, Centro De Iquique, Iquique, Tarapacá",iquique,700000,3,2,90,7778
Edificio Vista Azul / Aníbal Pinto,"Aníbal Pinto 1303, Iquique, Centro De Iquique, Iquique, Tarapacá",iquique,800000,2,2,70,11429
Departamento Amoblado Edificio Campanario Iii Iquique,"Playa Brava 2929, Iquique, Playa Brava, Iquique, Tarapacá",iquique,1050000,4,3,113,9292
Edificio Costanera Huayquique I  / Av. Cinco,"Av. Cinco 4300, Iquique, Huayquique, Iquique, Tarapacá",iquique,640000,1,1,45,14222
Edificio Costa El Aguila / Salitrera Providencia,"Salitrera Providencia, Iquique, Playa Brava, Iquique, Tarapacá",iquique,1000000,3,2,99,10101
Edificio Vistamar / Av.reinamar,"Av. Reinamar 2613, Iquique, Cerro Dragón, Iquique, Tarapacá",iquique,750000,3,2,73,10274
Edificio Nostro Mare / Condominio Puesta Del Sol,"Cinco Sur 4272, Iquique, Cerro Dragón, Iquique, Tarapacá",iquique,750000,2,2,70,10714
Edificio Radiata / Cerro Colorado,"Cerro Colorado 3781, Iquique, Huayquique, Iquique, Tarapacá",iquique,680000,3,2,85,8000
Edificio Matiz / San Martín,"San Martín 641, Iquique, Centro De Iquique, Iquique, Tarapacá",iquique,500000,1,1,32,15625
Arriendo Departamento Amoblado Con Increíble Vista En Sector,"Pje. Cam. A La Playa 1800 - 2100, Iquique, Huayquique, Iquique, Tarapacá",iquique,850000,2,2,95,8947
"Arriendo Dpto. 1 Dormitorio, Brisas Del Sur 2, Iquique","Av. Proyectada 2620, Iquique, Huayquique, Iquique, Tarapacá",iquique,600000,1,1,48,12500
Arriendo Depto. En Conjunto Habitacional Altos De Mar,"Av. La Tirana 3900 - 4200, Iquique, Cerro Dragón, Iquique, Tarapacá",iquique,620000,2,1,50,12400
Condominio La Tirana / Av. Cinco,"Avenida Cinco, Huayquique, Iquique, Tarapacá",iquique,970000,3,2,120,8083
"Arriendo Dpto. Amoblado Sector Sur, Ed. Torres De Huayquique","Av. La Tirana 5445, Iquique, Bajo Molle, Iquique, Tarapacá",iquique,900000,3,2,100,9000
Arriendo Departamento Amoblado 3 Dormitorios Iquique,"Av. Arturo Prat Chacón 1670, Iquique, Chile, Cavancha, Iquique, Tarapacá",iquique,900000,3,2,115,7826
Propiedad En Arriendo Depto Iquique,"Avenida Dos Oriente 4833, Iquique, Chile, Iquique, Tarapacá",iquique,600000,2,1,65,9231
Playa  Brava  Nuevo  1d 1b Bod Y Estac Santiago Polanco 207,"Avenida Santiago Polanco 2075, Iquique, Chile, Playa Brava, Iquique, Tarapacá",iquique,550000,1,1,32,17188
Arriendo Departamento En Iquique 2 Dormitorios + 1 Pieza Peq,"Condominio Horizonte - Avenida 4 Sur, 2640, Departamento 1604, Iquique, Chile, Cerro Dragón, Iquique, Tarapacá",iquique,560000,3,1,50,11200
Departamento En Arriendo De 2 Dorm Amob Mirador 2 En Iquique,"MANUEL PLAZA CON CASTRO RAMOS, Playa Brava, Iquique, Tarapacá",iquique,800000,2,2,20,40000
"Departamento En Arriendo De 2 Dorm Edificio Velamar ,iquique","MANUEL JESUS SILVA CON AV PLAYA BRAVA ALTURA DON TORO, Playa Brava, Iquique, Tarapacá",iquique,770000,2,2,60,12833
Departamento En Arriendo De 3 Dorm. En Iquique,"AV BILBAO ENTRE COLEGIO HISPANO BRITANICO Y LIDER SUR, Iquique, Tarapacá",iquique,800000,3,2,88,9091
Arriendo Departamento Edificio Paradise,"Avenida Santiago Polanco, 2075, Playa Brava, Iquique, Tarapacá",iquique,1100000,2,2,70,15714
Mirador Playa Brava Arriendo Departamento,"Manuel Plaza, 2989, Playa Brava, Iquique, Tarapacá",iquique,1100000,2,2,70,15714
Departamento Full Amoblado Con Vista Al Mar -oceánica- P16,"Edificio Oceanica, Cerro Dragón, Iquique, Tarapacá",iquique,790000,2,2,57,13860
Departamento En Arriendo De 3 Dorm. En Iquique,"Arturo Prat Chacon 215, Centro De Iquique, Iquique, Tarapacá",iquique,1150000,3,2,110,10455
Hermoso Departamento 1d/1b/est En Arriendo (101294),"Avenida Proyectada 1 - 300, Huayquique, Iquique, Tarapacá",iquique,670000,1,1,40,16750
Duplex Amoblado En Arriendo 2d/2b/est  (102165),"Avenida Héroes De La Concepción 1 - 300, Iquique, Tarapacá",iquique,1250000,2,2,116,10776
Departamento En Arriendo De 3 Dorm. En Iquique,"Condominio Brisas Del Sur 1, Cerro Dragón, Iquique, Tarapacá",iquique,750000,3,2,75,10000
